,perimeter1_cm,width1_cm,heigth1_cm,perimeter2_cm,width2_cm,heigth2_cm,prox_angl_macr,distal_angl_macr,tomat_pericap_area,tomat_pericap_area_ratio,tomat_pericap_thick,tomat_pericap_thick_ratio,photo_id
45,83.39264056801797,22.1239258313179,26.449482206106186,86.58835890769959,23.285491904616357,27.81741541147232,134.46507034301757,139.07715097665786,106.26721309125423,0.20069064855575564,1.289166896343231,0.1999335980415344,7244.0
46,74.58,14.73,27.440000000000005,80.63,15.52,28.920000000000005,108.6,101.70000000000002,63.49999999999999,0.18,0.8100000000000002,0.20000000000000004,6746.0
47,74.51474643707276,15.0292784640193,27.43548783183098,79.66715762376786,15.832496368587018,28.938815128803252,108.62500686645508,101.35450513362885,65.00859170407057,0.17606378555297852,0.8481118220090865,0.20011555314064025,6746.0
48,77.87,15.849999999999998,28.92,81.6,16.64,30.23,101.9,106.6,79.62000000000002,0.19,1.02,0.20000000000000004,6900.0
49,77.10638522863388,16.086760779619215,28.012115346193315,82.03463234066963,16.941306389570236,29.834277637004853,101.40221176147462,103.91422996520997,72.81221037656069,0.1744584894180298,0.9098899114131926,0.19997270226478575,6900.0
50,66.22,14.81,23.57,69.95,15.57,24.81,118.8,119.30000000000001,61.419999999999995,0.2,0.92,0.20000000000000004,7164.0
51,66.62318014264108,15.196332687288523,23.19652594447136,70.66972811102868,16.025281309187413,24.76043015807867,110.55207138061525,110.2932693362236,63.56235703080892,0.19370697498321535,0.9243208426237105,0.19987926185131072,7164.0
52,87.99,20.06,31.75,92.94,21.1,33.44,114.2,99.2,126.21,0.23000000000000004,1.43,0.20000000000000004,6765.0
53,87.16794678449631,18.94132290124893,31.17164882361889,91.67266233444214,19.93700932353735,32.718129869699474,115.27273826599122,103.62110903263093,97.20364344418049,0.18144992351531983,1.1100697863101958,0.20004318118095396,6765.0
54,84.43,21.96,28.070000000000004,88.85,23.42,29.34,121.1,138.5,114.84,0.21000000000000002,1.35,0.20000000000000004,7277.0
55,84.1484326863289,21.225619726777076,27.609002969264985,87.42446822166443,22.359702818989753,29.092756242156028,126.4964569091797,129.97815965414048,117.48063824176788,0.22615731716156007,1.4282345134019852,0.19990789473056791,7277.0
56,77.39,20.37,25.190000000000005,80.9,21.44,26.54,122.1,135.2,87.03,0.19,1.12,0.20000000000000004,7376.0
57,77.02122095108032,19.941455771923064,24.94148799777031,80.82184983372689,20.935893224477766,26.453115643858908,123.25746078491211,131.7233246564865,85.98712087869643,0.19186626434326173,1.103525121808052,0.19991107940673827,7376.0
58,65.49,16.66,20.98,68.37,17.56,21.69,130.9,136.6,54.73,0.18,0.83,0.20000000000000004,6781.0
59,65.73471020221712,16.834411225616932,21.15451913356781,70.00467181801797,17.736841248869897,22.39064289867878,128.76438446044924,131.82477910518648,57.56703933179378,0.17927049160003664,0.8562930199503898,0.1998610806465149,6781.0
60,104.45,20.05,39.53,110.53,21.16,41.42,100.4,92.4,113.64,0.16,1.07,0.20000000000000004,7392.0
61,102.37592875003816,20.370402982234953,37.889309700727466,107.2335072863102,21.396488225460054,39.65127319216728,101.7710747718811,97.22401664853096,112.15223270356654,0.1593906557559967,1.1097919243574141,0.20012573719024657,7392.0
62,86.08,19.15,29.37,89.23,19.87,30.95,108.0,128.3,79.42,0.16,0.92,0.20000000000000004,6813.0
63,84.02865854263307,19.70552646458149,28.764734060764315,88.53074783563615,20.685668643712997,30.469178369045256,114.3542350769043,121.84150074720384,88.49791126549243,0.17072654724121095,1.0364005881547926,0.19999473214149474,6813.0
64,69.22,19.58,20.77,73.07,20.6,21.74,139.8,147.9,57.04999999999999,0.16,0.8100000000000002,0.20000000000000004,7451.0
65,69.96717674016953,19.65428636610508,21.222715228796005,73.67311072528362,20.659884627461434,22.270774766206742,140.8555011749268,145.7975991129875,61.58357777893543,0.16361974239349367,0.863876447379589,0.1999054980278015,7451.0
66,56.49,12.27,20.96,64.51,12.92,22.08,104.5,105.20000000000002,40.44,0.18,0.65,0.20000000000000004,6778.0
67,57.94452114045621,13.018561421111228,20.207727432250977,63.9242810356617,13.673760149478912,21.88544091194868,110.30664596557618,108.58242248296739,27.43454116359353,0.14024750947952272,0.48609512031078334,0.19969988286495208,6778.0
68,75.04,20.72,23.97,79.69,21.8,25.26,134.7,132.6,85.49,0.19,1.12,0.20000000000000004,6943.0
69,76.57652751684189,20.40096871495247,24.333724353909492,79.84863516688347,21.443196996450425,25.522224694490433,135.00363998413087,132.62386167645454,85.7813105598092,0.19016568422317506,1.108778138756752,0.19991012632846833,6943.0
70,89.06,20.84,29.740000000000002,90.78,21.94,30.73,124.6,127.79999999999998,88.49,0.16,1.01,0.20000000000000004,7395.0
71,86.718812084198,20.667032768726347,29.407214767932892,90.75923465967179,21.71499286413193,30.76997146010399,123.38416824340821,124.89987661838532,90.5605229139328,0.16499582290649414,1.0330045360326765,0.20006402492523193,7395.0
72,57.160000000000004,11.95,21.04,67.82,12.53,22.55,102.9,98.1,44.150000000000006,0.2,0.68,0.20000000000000004,7704.0
