line,photo_id,perimeter1_cm,width1_cm,heigth1_cm,perimeter2_cm,width2_cm,heigth2_cm,prox_angl_macr,distal_angl_macr,tomat_pericap_area,tomat_pericap_area_ratio,tomat_pericap_thick,tomat_pericap_thick_ratio
936,7256,71.47,19.37,21.27,71.59,20.40,22.22,129.60,145.80,70.15,0.20,1.02,0.20
1197,7261,66.62,18.04,20.45,67.89,19.01,21.27,137.60,134.00,62.50,0.20,0.96,0.20
1200,7264,71.61,19.87,22.15,75.36,20.93,23.28,149.50,146.80,76.60,0.19,1.06,0.20
1222,7268,80.7,20.21,26.69,84.59,21.19,28.11,133.30,126.40,94.87,0.19,1.17,0.20
1007,7269,82.96,17.62,30.45,87.56,18.56,32.13,104.00,101.20,93.81,0.19,1.12,0.20
1206,7271,92.74,23.31,30.53,95.38,24.59,31.88,127.40,123.40,121.68,0.19,1.33,0.20
880,7274,74.71,19.02,25.24,78.33,20.04,26.52,117.20,126.00,81.76,0.19,1.09,0.20
1204,7275,79.36,20.69,25.03,82.70,21.74,26.38,140.70,140.80,107.25,0.23,1.37,0.20
876,7277,84.43,21.96,28.07,88.85,23.42,29.34,121.10,138.50,114.84,0.21,1.35,0.20
901,7283,76.31,20.77,22.41,75.96,21.86,23.11,145.50,149.70,78.88,0.19,1.08,0.20
902,7285,81.49,19.26,28.55,85.67,20.18,30.01,110.70,121.50,95.73,0.19,1.17,0.20
1121,7286,61.38,15.82,19.49,63.38,16.58,20.52,131.50,126.10,42.86,0.16,0.70,0.20
917,7288,73.36,19.26,23.91,76.43,20.18,24.95,132.60,121.80,77.08,0.19,1.05,0.20
916,7289,75.36,17.97,26.04,79.69,18.90,27.44,123.70,119.10,82.25,0.19,1.08,0.20
1151,7291,78.1,19.37,26.29,82.79,20.46,27.72,126.00,131.20,90.18,0.19,1.14,0.20
1389,7293,82.05,20.98,25.64,83.78,21.94,26.91,132.30,138.90,94.64,0.19,1.18,0.20
1157,7294,60.84,12.64,22.09,64.43,13.65,23.33,105.80,100.90,45.60,0.18,0.74,0.20
1378,7295,75.6,20.45,23.47,79.90,21.55,24.79,149.20,146.40,93.44,0.21,1.23,0.20
1387,7296,84.29,21.06,28.18,88.92,22.16,29.64,127.50,134.50,104.91,0.19,1.23,0.20
989,7297,65.34,17.07,19.76,66.27,18.06,20.63,135.80,138.10,57.83,0.20,0.91,0.20
171,7299,86.2,20.37,28.13,87.71,21.46,29.64,122.50,117.90,118.25,0.23,1.42,0.20
426,7303,50.55,16.32,18.34,62.60,17.22,19.32,142.10,144.70,42.78,0.16,0.71,0.20
420,7304,69.18,18.2,22.91,73.30,19.20,24.14,130.30,128.90,59.17,0.16,0.84,0.20
965,7306,76.2,16.03,27.91,80.53,16.91,29.42,105.50,107.60,80.25,0.19,1.04,0.20
943,7307,69.16,17.67,22.8,73.80,18.65,24.06,133.00,139.90,71.17,0.20,1.01,0.20
1227,7309,74.71,16.72,27.36,79.02,17.64,28.83,110.00,94.10,77.11,0.19,1.02,0.20
1189,7311,71.67,19.63,22.62,75.45,20.71,23.84,138.50,143.00,77.22,0.19,1.07,0.20
1120,7314,66.49,18.09,21.37,69.98,18.98,22.50,130.70,138.10,72.89,0.21,1.09,0.20
1166,7315,62.97,17.99,19.26,65.92,18.90,20.21,149.80,137.60,54.06,0.18,0.85,0.20
1225,7321,87.07,14.45,32.01,87.39,15.18,33.69,102.70,84.90,75.51,0.18,0.90,0.20
1412,7322,74.48,19.84,23.73,78.72,20.96,25.01,135.50,142.90,98.54,0.23,1.32,0.20
1012,7326,91.08,21.35,30.69,94.61,22.53,32.35,120.20,127.40,138.40,0.23,1.54,0.20
1223,7327,61.69,13.59,22.41,81.97,16.58,30.70,99.10,92.10,72.36,0.18,0.92,0.20
1168,7331,81.11,20.1,26.46,83.55,21.19,27.91,129.90,122.70,100.73,0.21,1.27,0.20
424,7332,64.35,16.46,21.19,68.05,17.36,22.33,121.50,136.00,56.11,0.18,0.86,0.20
1037,7333,74.86,13.54,27.94,81.01,20.96,27.05,131.00,130.70,118.52,0.26,1.56,0.20
1234,7335,83.14,21.33,26.11,84.53,22.44,27.33,133.50,138.60,105.65,0.21,1.31,0.20
1186,7339,83.39,16.45,31.59,87.18,17.36,33.35,102.30,80.60,63.64,0.14,0.75,0.20
896,7343,68.68,17.85,21.32,70.42,18.84,22.39,142.30,138.10,72.47,0.21,1.08,0.20
915,7345,71.88,17.27,24.32,74.20,18.20,25.46,123.10,119.80,65.10,0.18,0.91,0.20
910,7349,74.48,21.09,23.2,78.55,22.22,24.42,147.90,140.00,107.40,0.25,1.45,0.20
1148,7351,73.64,18.99,23.89,76.08,20.04,24.90,134.50,123.80,70.51,0.18,0.96,0.20
1150,7352,80.03,19.49,27.23,76.34,20.79,23.22,138.40,154.40,77.02,0.19,1.05,0.20
1144,7354,76.26,18.15,23.52,75.98,19.12,24.65,136.90,133.80,89.43,0.23,1.24,0.20
1027,7355,65.52,16.8,21.83,68.78,17.72,23.00,124.60,131.20,63.49,0.20,0.96,0.20
883,7356,75.24,18.52,25.53,78.71,19.51,26.85,121.80,126.10,81.88,0.19,1.09,0.20
1159,7357,83.13,20.9,27.46,86.68,22.05,28.92,132.70,126.60,118.27,0.23,1.44,0.20
1033,7359,69.41,16.82,23.42,72.29,17.72,24.65,120.80,119.30,75.02,0.21,1.09,0.20
1111,7360,73.88,19.98,23.44,76.84,21.05,24.67,123.60,133.80,87.23,0.21,1.19,0.20
1165,7361,85.33,20.88,28.73,89.98,21.99,30.31,126.10,125.40,105.74,0.19,1.23,0.20
1269,7366,69.19,16.46,22.01,70.54,17.50,23.17,140.10,126.10,44.66,0.14,0.65,0.20
514,7369,75.86,15.88,28.07,80.94,16.83,29.56,100.40,109.50,51.45,0.14,0.66,0.21
591,7370,82.09,17.15,29.13,84.21,17.98,30.73,116.20,96.00,69.93,0.16,0.86,0.20
1336,7373,78.31,21.43,25.21,83.16,22.55,26.60,120.30,140.80,92.13,0.19,1.16,0.20
850,7376,77.39,20.37,25.19,80.90,21.44,26.54,122.10,135.20,87.03,0.19,1.12,0.20
